Subj_5,Subj_7,Subj_8,Subj_10,Subj_14,Subj_15,Subj_18,Subj_23
80.3,2.6,60.6,0,35.2,275.4,0,7.2
180.2,0,57.2,0,96.4,184,0,51.6
118.2,7.8,7.6,0,176.2,125.6,0,0
195.5,0,45.2,0,74.33150651,74,0,0
25.6,0,110.4,0,20,19.2,0,0
0,10.2,50.2,87.75,7.6,14.4,0,76.8
7.5,0,7.6,44.5,0,9.6,0,31.4
48.9,0,12.6,111,20,24.2,0,57
52.2,0,47.8,0,7.6,63.2,0,87
64.8,0,25,0,12.6,7.2,0,29
53.9,0,2.6,44.5,102.4,38.6,0,2.4
0,15.4,63.2,28.25,2.6,38.6,0,45.8
0,12.8,134,67.25,12.6,31.4,0,155
56.2,0,97.4,44.5,15,31.2,0,12
54.5,0,2.6,9.5,17.6,9.6,0,29
99.8,0,7.6,0,98.4,12,55.33333333,0
79,0,125.4,48.25,56.73150651,28.8,0,75.8
62.2,0,72.8,294.25,17.6,33.8,0,106.6
41,35.8,15,273,7.6,14.4,34,81.2
22.1,7.6,129.6,85.5,12.6,36.2,0,4.8
129.9,0,161.2,0,2.6,9.6,81,19.4
18,0,327.2,226,0,37.2,243.3333333,17
25.1,0,15.65696313,48.25,0,16.8,406.3333333,7.2
0,0,147.6,12.5,56.8,14.4,42.66666667,46.2
0,5.2,38.6,283.5,89.4,9.6,51.33333333,179.8
0,0,0,37.75,99.8,9.6,34,0
0,0,0,126.75,0,7.2,153.6666667,7.2
0,5.2,2.6,34.5,10.2,0,0,26.6
0,0,0,22,12.6,0,0,66.6
0,0,0,15.75,7.6,21.8,0,51.6
0,0,35.2,71,0,2.4,0,120.8
65.2,0,22.6,0,12.6,7.2,0,9.6
17,0,0,15.75,30.2,2.4,8.666666667,12
0,0,0,12.5,0,9.6,0,14.4
49.9,0,0,55.75,0,31.4,21.33333333,184
87.1,0,0,131.75,0,4.8,117.6666667,14.4
112.8,0,0,67.25,15,9.6,0,4.8
136.9,0,0,31.5,0,72.8,0,4.8
150.1,0,0,37.75,0,56.4,17,2.4
112.2,0,5,3.25,0,26.6,0,21.8
26.5,0,0,25,0,85,34,4.8
10.5,2.6,0,0,0,122.6,86.33333333,9.6
39.8,2.6,0,22,2.6,38.6,325,0
69.4,0,7.6,0,10,90.4,135.6666667,60.2
55.2,0,0,0,5.2,102.4,371.3333333,99.2
52.6,0,0,0,41.6,24.2,274,50.8
24.8,56.2,41.6,0,10,2.4,179.3333333,12
16,50.8,10.2,0,0,19.2,651,14.4
27.4,18,0,0,10,33.6,520.6666667,14.4
65.2,7.6,5,3.25,12.6,26.4,106.6666667,43.4
56,20.4,5,34.5,65.6,112.2,0,12
32.9,0,20,113,5,87,0,63.2
5,0,5,0,38.6,85.8,0,112.4
6,0,0,34.5,27.6,19.4,0,36.2
13,136.8,0,91,67.2,43.4,0,19.4
104.8,222.8,0,82.25,2.6,7.2,0,166
117.3,5.2,15,0,20,4.8,0,36.2
222.1,7.6,0,0,7.6,7.2,101.6666667,2.4
107.4,0,0,120.5,7.6,4.8,0,65.6
5,0,0,259.25,0,2.4,0,16.8
0,0,0,44.5,143,4.8,0,41
0,0,2.6,126.75,22.6,24.2,0,45.8
0,0,0,0,0,9.6,0,24
0,0,0,0,0,26.6,0,33.8
55.7,0,0,0,5,14.4,0,50.8
10.5,0,0,0,0,0,0,24
0,0,0,0,0,0,0,28.8
2,2.6,0,0,32.6,16.8,0,21.8
2,0,0,0,5,9.6,0,33.8
0,0,0,0,0,12,0,2.4
0,0,0,0,22.6,21.6,34,31.4
11,0,0,0,17.6,36,38.33333333,9.6
0,5.2,2.6,99.75,15,4.8,0,14.4
7,0,0,108.5,0,56.4,0,16.8
0,0,2.6,0,10,9.6,47,41
4.5,0,7.6,0,5,7.2,0,16.8
6,0,0,0,0,56,0,14.4
0,38.4,0,0,15,16.8,55.33333333,29
0,0,0,6.25,62.4,2.4,0,0
0,0,2.6,0,5,0,0,183.6
2,23,12.6,0,5,21.6,0,58.4
0,18,0,28.25,35.6,26.6,0,14.4
9,0,76.2,0,0,55.6,0,48.8
0,0,70.6,0,0,33.8,0,9.6
0,0,7.6,0,0,16.8,0,9.6
0,0,0,0,0,56.6,0,14.4
0,0,2.6,0,0,121.6,0,39.6
0,0,0,0,0,54.4,0,73.4
0,0,0,74.75,0,55.6,0,60.6
0,2.6,0,0,5,111.6,0,17
0,0,0,9.5,86.8,290.2,0,21.8
0,25.6,0,0,15,148.2,0,0
0,0,0,0,0,100,0,2.4
21.5,0,0,0,62.8,142,0,0
48.6,0,0,78.5,25,93.8,0,19.4
0.5,7.6,0,0,186.2,108.6,0,76.8
0,0,32.6,0,134.6,117.4,0,81.2
0,0,5,25,0,153.6,0,19.2
0,0,0,0,0,327,0,9.6
22.8,0,7.6,15.75,27.6,342.8,0,12
4,30.8,7.6,0,32.6,164.6,0,9.6
19,2.6,0,0,10.2,91.8,0,36.2
29.5,2.6,2.6,44.5,12.6,283,4.333333333,34.2
83.1,0,0,3.25,37.8,196.6,0,21.8
165.9,0,5,201.5,0,60.2,0,12
40.9,7.6,116,0,20,24.2,0,16.8
65.3,0,15,0,0,12,0,0
43,0,20,0,10,48.2,34,0
0,0,0,0,0,71.8,0,4.8
18.3,0,129.6,3.25,0,56,0,0
58.2,0,155.6,0,17.6,61.2,0,0
1,0,0,0,0,53.6,0,2.4
2,2.6,35.6,0,0,31.2,0,73.8
0,0,2.6,0,53.8,31.4,0,12
0.5,0,0,0,0,64.6,8.666666667,0
0,0,0,9.5,0,69,0,26.6
3.5,0,0,0,2.6,24.2,0,12
0,18,5,0,0,47.8,0,69
10.5,0,2.6,0,0,50.8,42.66666667,26.4
0,0,0,0,0,63.6,0,0
3,39.4,5,0,0,26.6,141.6666667,7.2
8,0,0,0,0,39.21162871,0,7.2
17,0,2.6,0,0,107.2,4.333333333,0
0,0,2.6,0,27.6,38.8,0,17
0,0,0,0,40.2,36.2,0,19.4
0,0,7.6,0,17.6,7.2,76,85
1,0,10,0,5,7.2,30,0
0,0,10,0,40.2,21.6,38.33333333,4.8
0,0,0,0,40.2,19.2,0,29
0.5,2.6,0,0,0,0,0,2.4
2.5,0,0,0,5,16.8,0,60.4
0,5.2,0,0,12.6,2.4,0,31.4
0,0,0,0,25,29,4.333333333,24.2
0,0,0,44.5,10,4.8,8.666666667,0
1,0,7.6,9.5,7.6,17,111.6666667,80.6
0,0,0,3.25,0,33.8,0,238.6
11,0,0,138.75,10,0,0,72.4
48,0,15,99.75,22.6,2.4,0,47.8
176,0,38.6,428,22.6,7.2,0,7.2
167.6,0,50.6,529.5,47.6,4.8,0,21.8
170,0,0,0,5.2,7.2,0,83.6
90.4,0,0,0,5,19.2,0,2.4
41,0,0,0,30.2,2.4,76,24.2
76.9,0,0,0,76.2,9.6,0,0
39,0,2.6,0,299.2,12,47,7.2
27.5,0,10.2,0,56.8,4.8,0,4.8
102.3,20.4,2.6,3.25,143.2,0,17,0
232.6,0,0,0,181.2,16.8,0,0
173.3,5.2,7.6,0,0,53.2,86.33333333,0
91.9,7.6,0,0,30,31.4,64,0
22.5,0,41.6,71,25,2.4,0,4.8
64.7,46.2,83.4,6.5,0,9.6,0,108.2
50.2,0,0,3.25,37.6,24,47,37.2
105.9,0,0,0,7.6,40,0,65
24.5,0,0,0,0,26.6,47,12
74.1,0,7.6,0,17.6,0,38.33333333,0
8.5,36.4,22.6,3.25,30,9.6,0,9.6
22,0,2.6,0,67.8,29,0,24.2
0,0,0,0,55.2,14.4,0,14.4
2,2.6,0,0,0,2.4,0,135.8
60.7,36.4,104,28.25,0,9.6,0,12
18.1,0,0,286.75,0,9.6,0,117.4
15.5,70.6,0,34.5,0,7.2,0,81.6
2,57.8,0,0,0,16.8,0,29
135.5,0,0,0,0,4.8,0,33.8
194.2,67,0,0,0,19.2,0,12
192.2,159.8,0,0,0,16.8,0,2.4
84.4,111.6,0,0,0,19.2,65.66666667,17
218.3,70.6,0,0,0,2.4,0,4.8
59.1,0,0,0,50.2,21.6,47,14.4
24.5,0,0,0,66.2,14.4,0,54.6
27.5,0,0,0,38.6,47.8,0,159.8
64.1,0,35.6,0,0,2.4,0,93.6
28,57.8,0,0,0,21.8,0,24.2
86.3,0,0,0,0,2.4,0,16.8
216.4,0,0,0,0,4.8,0,4.8
24.5,0,0,0,0,38.6,47,2.4
41,0,0,0,0,21.8,86.33333333,4.8
131.6,0,56.8,0,2.6,2.4,4.333333333,4.8
242,0,5.2,0,0,2.4,0,0
142,0,0,124.25,15.2,0,70.66666667,4.8
114.6,0,0,25,15.2,7.2,0,0
166.7,0,0,0,0,2.4,0,0
87.3,0,0,0,5,9.6,0,4.8
525,10.2,0,0,0,26.4,55.33333333,4.8
474.9,0,0,0,0,48.4,0,0
151.4,0,0,0,12.6,29,0,0
197.1,0,22.6,0,12.6,14.4,0,0
114.1,0,0,0,101.4,12,0,2.4
80.1,0,0,0,2.6,2.4,0,21.8
26.5,0,15,0,62.8,9.6,0,2.4
34,42.4,59.4,0,47.2,14.4,0,0
54.5,12.8,0,0,0,0,47,2.4
243.4,0,0,63.25,30.2,2.4,21.33333333,7.2
40.2,88.6,0,34.5,7.6,48.4,0,0
170.6,57.8,0,0,88.4,2.4,0,0
111.3,18,0,104.25,7.6,0,4.333333333,0
119.3,0,0,48.25,0,21.8,117.6666667,0
189.1,20.4,0,0,15,19.2,0,0
57.6,0,0,40.75,0,24,0,19.4
114.1,0,0,0,0,0,30,0
106.7,0,0,0,0,12,0,19.4
44.1,0,0,74.75,0,0,228,2.4
91.6,30.8,38.6,18.75,0,24,76,4.8
161.8,81.4,12.6,0,0,0,86.33333333,14.4
31.6,61,7.6,3.25,0,36.4,51.33333333,2.4
0,0,12.6,0,20,7.2,51.33333333,2.4
8,0,2.6,357,20,14.4,42.66666667,0
1,0,7.6,28.25,17.6,7.2,8.666666667,19.4
59.6,0,15.2,0,30.2,31.4,4.333333333,0
370.1,0,15,0,17.6,16.8,8.666666667,9.6
123.4,0,0,0,47.6,7.2,0,17
194.8,0,47.2,0,0,14.4,0,0
238.9,0,0,0,15.2,24.2,4.333333333,2.4
150,2.6,0,71,0,0,65.66666667,24.2
287.9,0,0,0,0,12,96.33333333,2.4
116.9,0,0,0,95.2,33.8,8.666666667,29
48.2,0,0,0,32.6,21.8,47,7.2
131.3,0,0,0,59.8,4.8,60.66666667,7.2
59.2,0,0,28.25,0,26.6,101.6666667,12
99.1,0,32.6,0,69.2,2.4,8.666666667,39.6
128.2,20.4,138.4,0,15,0,169,48.8
146.7,0,0,279.75,0,7.2,21.33333333,76.8
269.3,18,0,252.25,0,7.2,111.6666667,14.4
369.4,72.6,0,273,56.73150651,7.2,42.66666667,45.8
224.6,42.4,0,365.25,0,19.4,235.6666667,2.4
261.5,150.6,0,190,0,4.8,65.66666667,7.2
458.4,28.2,2.6,429,0,16.8,4.333333333,2.4
171,0,0,252.25,0,0,4.333333333,7.2
139,0,0,324.5,0,56.6,55.33333333,0
102.4,0,0,0,56.8,0,473.6666667,2.4
43,0,0,0,15,0,333.6666667,2.4
99.2,0,0,0,0,26.6,0,7.2
479.8,0,0,0,20,19.2,0,0
511.6,0,0,0,38.6,7.2,0,19.4
255.6,0,0,99.75,0,2.4,0,0
221.5,0,0,0,27.6,21.6,0,0
247.6,0,0,0,0,21.8,0,0
453.8,0,0,0,0,45.8,0,0
255.2,0,0,0,15,9.6,0,0
502.5,0,0,0,0,4.8,0,0
391.1,0,0,0,0,16.8,0,0
287.9,0,10,0,0,82.8,8.666666667,0
196.3,7.6,0,0,0,17,0,0
277.2,103.4,0,0,0,34.2,4.333333333,7.2
346.6,103.4,0,0,0,0,8.666666667,0
422.8,7.6,2.6,0,0,33.8,0,2.4
221.2,0,0,0,5,31.4,0,0
187.6,0,0,0,0,9.6,25.66666667,51.2
233,0,0,0,97.4,9.6,420.6666667,61.8
284.9,0,0,44.5,229.4,84.6,0,78.6
266.3,0,10,0,48.6,2.4,0,62.8
245,0,0,0,53.2,19.2,0,2.4
359.6,0,0,0,56.2,4.8,0,0
237.8,0,0,203.75,69.2,16.8,0,7.2
331.2,0,22.6,31.25,65.8,7.2,0,24.2
264.5,0,0,0,50.6,56,0,2.4
353.8,0,0,44.5,5,9.6,0,7.2
321.5,0,0,78.25,5,19.2,0,21.6
207,0,0,0,0,36.2,0,2.4
303.5,0,0,0,56.73150651,19.2,0,0
275.9,2.6,0,28.25,5,4.8,0,0
206.6,0,0,34.5,138.2,19.4,0,2.4
248.9,0,0,31.25,35.2,21.6,38.33333333,0
254.4,0,30,476.75,10,2.4,8.666666667,0
128.5,0,10,0,0,7.2,17,0
157.6,0,2.6,3.25,5,4.8,0,7.2
430.3,0,0,3.25,0,7.2,0,2.4
210.4,0,0,0,136.6,14.4,0,12
451.6,0,0,0,104.9315065,4.8,0,0
361.1,2.6,7.6,0,86,16.8,0,0
368.1,0,10,0,154.1315065,98,0,4.8
565.2,0,0,25,66.73150651,9.6,17,29
463.4,36.4,2.6,0,7.6,43.4,136.3333333,33.8
222,0,0,71,52.2,26.4,0,0
488.1,2.6,15,91,84.8,0,0,0
423.1,57.8,0,0,144.6,4.8,0,0
670.9,61,176.2,0,157.2,24,0,0
463,51.8,10,0,214,16.8,0,0
326.7,74.2,7.6,0,143,9.6,0,0
224.1,47.6,0,34.5,146,4.8,60.66666667,0
559.7,80.8,90.4,78.5,91.8,2.4,30,2.4
417.7,131.6,0,9.5,78.8,24.2,164.6666667,0
389.1,85.6,0,0,212.2,24.2,0,70
275.9,59.4,0,0,256,0,0,119.2
404,15.4,0,59.5,170.6,31.4,0,81.6
624.1,51.2,0,0,191.4,21.6,12.66666667,12
341.7,20.4,0,18.75,300,38.6,0,14.4
367.9,10.4,2.6,446.75,404.6,53,96.33333333,0
326.6,48.6,0,252.25,195.8,36.2,0,0
109.4,114.8,10,259.25,349.8,4.8,172.3333333,0
180.1,319,0,0,330.8,31.4,0,2.4
129.5,205.4,129.6,0,486.8,55.6,0,0
113.7,64,0,3.25,722.2,2.4,0,0
135.3,57.8,17.6,55.75,780.8,4.8,0,63.2
55.5,77.8,0,71,694.6,29,186,89.8
102,115.8,0,18.75,716.8,0,0,109.2
100.5,121.8,12.6,0,839.6,48.4,47,9.6
88.4,165.8,12.6,37.75,869.4,24.2,0,0
299.5,187.4,0,0,678.6,62.6,0,0
215,57.8,5,0,323.8,4.8,0,0
210,28.2,5,0,292.6,14.4,12.66666667,0
126.4,223.4,30.2,0,159.2,16.8,0,0
40.5,83.50162885,5,0,358.4,16.8,8.666666667,7.2
154.2,92.2,0,0,346,21.8,55.33333333,0
216.2,85,0,0,406,4.8,0,0
433.6,222.8,0,0,89.8,2.4,0,0
419.1,128,0,0,173.2,2.4,60.66666667,0
146.8,36.4,0,0,146.9315065,4.8,0,0
172.5,70.6,0,0,129.4,19.2,0,0
112.6,0,0,95.25,168.2,9.6,0,0
264.5,2.6,0,117.25,141,21.6,65.66666667,76.8
116.2,95.8,0,6.25,188,21.8,307.3333333,0
85.9,57.8,2.6,0,176.4,63.2,0,0
134.2,39.4,0,0,261.8,24.2,129.6666667,0
165.8,50,0,0,466.2,17,0,0
61.7,148.4,0,0,250.4,19.4,0,0
177.1,99.4,0,0,130.6,19.2,129.6666667,0
54.6,157.4,0,0,256.4,48.4,0,0
35.3,260,0,0,246.4,19.2,0,0
21,91.2,0,0,325,7.2,65.66666667,0
49.5,119.8,0,0,312.8,9.6,333.6666667,9.6
287.1,39.4,0,0,1032.4,26.6,0,73.4
38.1,25.6,0,186.25,463.2,36.2,0,34.2
25.5,77.8,5,0,229.4,14.4,0,73.4
72.2,94.8,0,123,73.2,53,0,9.6
23,57.8,0,0,53.8,24,0,14.4
16,85,12.6,117.25,55.8,24.2,0,12
0,85,0,3.25,147.6,2.4,47,19.4
19.5,95.8,0,15.75,124.8,7.2,0,17
127.2,30.8,10,37.75,248,43.6,76,7.2
324,77.8,0,25,479,19.4,0,9.6
49,33.2,5,0,491,7.2,4.333333333,0
96.5,107.6,15,0,597.4,12,55.33333333,0
127,45.6,65.8,0,504.4,12,21.33333333,70
25.1,0,40.2,0,704.8,16.8,0,79.2
122,2.6,10,0,860.6,4.8,0,29
151.4,0,10,0,694.6,0,0,0
405.7,0,0,28.25,648,31.4,0,0
257.2,0,0,0,585.2,19.2,0,0
133.2,0,5,0,375.6,0,8.666666667,54.6
76.8,0,7.6,0,315.2,2.4,65.66666667,142
18.5,0,105.4,0,99,0,0,14.4
40.6,0,0,550.25,37.6,26.6,0,37.2
20.8,0,5,400.25,146.4,24.2,0,92.2
88,0,7.6,418.5,312.8,19.2,4.333333333,0
0,0,0,22,186.2,4.8,0,14.4
1.5,2.6,0,0,411.6,14.4,0,29
27.5,77.8,0,0,451.2,31.4,0,0
16.1,54.8,0,0,596.4,2.4,0,2.4
0,82,0,0,283.6,7.2,0,0
0,166.4,5,0,298.6,0,38.33333333,2.4
25.1,239.6,0,48.25,626.8,24.2,81,7.2
0,245.8,0,0,796.2,21.8,129.6666667,45.8
31.7,65,125.4,0,611.2,0,325,29
17.5,105.1016288,0,0,211.8,9.6,452.3333333,26.4
154.6,271.4,5,0,99.4,7.2,42.66666667,2.4
37.6,243.8,2.6,0,35.2,9.6,0,0
15.6,183.8,0,44,168.2,4.8,4.333333333,0
13,73.8,0,91,256.8,4.8,55.66666667,76.8
36.6,59.4,0,151.75,466.4,33.8,441.3333333,40
0,114.6,0,0,469.8,14.4,0,0
0,155.2,0,0,801.6,26.6,0,0
0,161.8,32.6,0,337.4,31.4,0,2.4
0,144.8,47.6,91,405,53.6,0,2.4
0,54.8,83.4,0,731.8,14.4,0,0
50.1,39.4,54.6,0,444.6,0,94,0
178.2,0,15,0,132.4,9.6,0,0
58.9,7.6,30.65696313,0,32.6,2.4,34,0
29.1,39.4,133.4,28.25,5.2,2.4,243.3333333,2.4
8,70.6,112.4,0,65.4,0,0,2.4
0,18,15.2,0,495.4,53.4,0,0
17.6,70.6,143,6.25,930,21.8,0,107.6
11,25.6,212.8,178.75,1191.2,17,70,0
87.1,12.8,12.6,151.75,797,14.4,60.66666667,21.8
61.5,25.6,22.6,66.37754986,833.8,7.2,206.6666667,2.4
57.7,36.4,7.6,466.75,883.6,17,72.33333333,0
74,30.8,10,365.25,966.4,21.8,0,2.4
1,28.2,0,245.25,714.4,33.8,8.666666667,0
33.3,35.8,35.2,264.75,581.8,21.8,8.666666667,12
83.8,128,58.2,67.25,580.6,19.4,0,4.8
23,48.6,15,99.75,293.2,40,113.896599,0
23.6,84.4,46.6,44.5,787.2,2.4,266.3333333,0
71.8,60.4,0,117.25,477,21.8,243,2.4
343,60,12.6,239,459.6,33.8,300.3333333,0
646.7,157.8,37.6,126.75,563.6,41,338,4.8
365.7,125,5,213.25,534,9.6,433.896599,63.2
276.5,133.2,62.8,12.5,409.6,14.4,105,0
224.4,33.2,83.6,105.5,462,24,371.3333333,9.6
274.3,64,56.8,37.75,757.4,16.8,463.3333333,4.8
213.6,70.6,90.4,178.75,990.2,9.6,305.6666667,0
214,18,143,195.75,846.8,4.8,1163.333333,2.4
73.6,23,109.4,239,381.2,67,717.6666667,0
10,67,121.4,267.25,666,9.6,559,0
37.6,179.8,20,749.75,769.6,9.6,454,2.4
256.6,81.4,83.4,134.25,377,55.6,246.6666667,31.4
265.7,69.6,65.6,129.6275499,820,4.8,430.3333333,48.6
102.9,96.8,25,310,747.8,7.2,1049.666667,140
212.7,158.8,35.6,346.5,443.2,31.4,723.6666667,14.4
482.5,151,38.6,176.75,541.2,4.8,516.3333333,121.2
240.5,236,5,248.5,928.8,12,567.6666667,142.4
353.9,190.5016288,2.6,482.5,707,4.8,570,93.4
348.3,158.2,56.6,329.25,382.6,50.6,627.3333333,0
452.3,155.6,133,343.25,508.8,53.2,700,0
470.5,136.6,130.6,268.25,338.2,103.8,1005.333333,7.2
209.6,100.8,304.2,37.75,788.6,29,1822.666667,0
166.1,122.8,152,48.25,666,33.8,1009.666667,9.6
194.0738061,83,125.4,47,639.6,41,1404,54.4
96.2,67.6,154,6.25,1724.2,66.2,801.3333333,86
111.9,79.4,337.2,50.25,548.2,2.4,483.2299323,48.8
169.6,65,30.2,104,968.8,4.8,682.6666667,19.2
63.7,10.2,41.6,50.25,740.4,9.6,246.6666667,21.8
59.7,38.4,7.6,121.75,395.2,14.4,301.3333333,7.2
15.5,148,10,252.75,834.2,4.8,221,51.6
78.9,33.2,0,3.25,308.8,36,330.3333333,0
91.9,51.2,94.4,28.25,708.2,14.4,337,4.8
212.7,63.6,134,6.25,184.4,2.4,414.6666667,0
144.9,49.6,69.2,0,224,26.6,104.6666667,40
293.4,75,17.6,0,1239.8,7.2,89.33333333,101.4
105.8,60.4,17.6,0,465,21.8,624,24.2
78.4,97.8,12.6,25,251,34.2,292,29
100.8,78,0,6.25,169.6,9.6,89.66666667,0
136.9,60,2.6,0,448.4,19.4,253.3333333,9.6
70.8,23,2.6,3.25,588.8,38.6,536,29
84.2,30.8,0,0,966.2,16.8,1066.666667,9.6
180.1,23,2.6,348.25,438.8,4.8,1013,0
304.3,10.2,20.2,9.5,460.2,19.2,987.3333333,2.4
136.3,54.8,20.2,111.75,588,4.8,762.6666667,0
169.6,134.2,2.6,9.5,967.8,31.4,235.6666667,7.2
193.3,349.2,145,3.25,523.6,21.8,141.6666667,31.4
117.4,152.6,90.8,9.5,660.4,31.4,167.3333333,0
188.5,144,62.8,112.25,273,21.8,65.66666667,9.6
224.6,207.8,122.4,0,821.6,19.2,214.3333333,21.8
297.1,305.2,12.6,25,490.4,19.2,419,4.8
439.9,48.6,201.2,37.75,536,38.6,186,2.4
436.7,61,211.2,357,296.2,131.4,143.3333333,4.8
605.3,73.8,0,466.75,711.2,4.8,192.6666667,0
438.7,88.6,0,408.8775499,745,24,222.6666667,4.8
310.9,56.4,7.6,317.25,1006.8,22.21162871,472,0
225.8,109.6,0,141.75,836.8,7.2,539.3333333,0
262,121.4,12.6,420.25,630.4,88.8,349.6666667,0
158.1,30.6,15.2,594,184.8,21.6,244.3333333,4.8
321.5,33.2,20,709,430.6,16.8,379.6666667,2.4
225.5,2.6,37.8,354.5,502.4,61.6,301.3333333,19.4
548.7,23,17.6,844.5,945.2,14.4,251,98.6
432.6,0,17.6,579.75,760.4,9.6,583.3333333,2.4
285.7,118.8,0,226,1653,0,497.6666667,4.8
322,67.6,17.6,250.25,255.4,50.8,292,116.8
379.9,100,169.8,254,166.6,29,157,9.6
187,181.8,508.4,294.25,170.6,56.01162871,361,97.6
245.5,303.8,202.6,404.5,154,71,327,46
188.7,332.2,181.2,845,294.6,31.4,198,31.4
362,249,101.4,712,270,12,172.3333333,14.4
